Model Time, 23LT0001:MeasuredValue, 23LT0002:MeasuredValue, 23PT0001:MeasuredValue, 23PT0002:MeasuredValue, 23PT0003:MeasuredValue, 23FE0001:VolumeFlow, 23TT0003:MeasuredValue, 23LT0001:AlarmHighHigh, 23LT0001:AlarmLowLow, 23LT0001:AlarmHigh, 23LT0001:AlarmLow, 23LT0002:AlarmHighHigh, 23LT0002:AlarmHigh, 23LT0002:AlarmLow, 23LT0002:AlarmLowLow, 23PT0001:AlarmHighHigh, 23PT0001:AlarmHigh, 23PT0001:AlarmLow, 23PT0001:AlarmLowLow, 23LV0001:ValveStemPosition, 23LV0002:ValveStemPosition, 23TV0003:ValveStemPosition, 23UV0001:ValveStemPosition, 25ESV0001:ValveStemPosition, 23ESV0002:ValveStemPosition, 23ESV0003:ValveStemPosition, 23ESV0005:ValveStemPosition, 23KA0001_m:MachineSpeed
, mm, mm, barg, barg, barg, m3/h, C, , , , , , , , , , , , , fraction, fraction, fraction, fraction, fraction, fraction, fraction, fraction, rpm
000:18:27.00, 495.662, 1463.9, 24.5768, 24.3363, 50.3761, 9484.97, 45.5344, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.485231, 0.310016, 0.0330922, 0, 1, 1, 1, 1, 8215.41
000:18:30.00, 495.043, 1464.94, 24.6447, 24.1932, 50.4608, 9901.19, 46.5041, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.484756, 0.31036, 0.0371988, 0, 1, 1, 1, 1, 8287.98
000:18:33.00, 493.437, 1463.4, 24.5707, 24.1051, 50.4757, 10030.8, 46.552, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.481794, 0.309408, 0.0386418, 0, 1, 1, 1, 1, 8306.27
000:18:36.00, 491.33, 1460.06, 24.5203, 24.0638, 50.4764, 10068.9, 46.149, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.477474, 0.307547, 0.0377214, 0, 1, 1, 1, 1, 8318.1
000:18:39.00, 488.999, 1455.58, 24.493, 24.0404, 50.4783, 10096.3, 45.9649, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.472445, 0.305091, 0.0369155, 0, 1, 1, 1, 1, 8332.43
000:18:42.00, 486.611, 1450.43, 24.4728, 24.0193, 50.4821, 10127.7, 46.0693, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.46709, 0.302276, 0.0371836, 0, 1, 1, 1, 1, 8346.63
000:18:45.00, 484.261, 1444.94, 24.4516, 23.9935, 50.4858, 10166.1, 46.2005, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.461639, 0.299264, 0.0378732, 0, 1, 1, 1, 1, 8363.25
000:18:48.00, 482.013, 1439.33, 24.425, 23.9623, 50.4885, 10205.7, 46.2138, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.45624, 0.296167, 0.0382489, 0, 1, 1, 1, 1, 8377.18
000:18:51.00, 479.901, 1433.75, 24.3979, 23.9343, 50.4897, 10231.7, 46.1807, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.450984, 0.293057, 0.0383479, 0, 1, 1, 1, 1, 8387.52
000:18:54.00, 477.943, 1428.3, 24.3736, 23.9098, 50.4907, 10250.9, 46.1805, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.445925, 0.289982, 0.0384966, 0, 1, 1, 1, 1, 8396.98
000:18:57.00, 478.342, 1425, 24.3157, 23.5706, 50.5017, 10299.8, 46.2642, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.443263, 0.287961, 0.0389776, 0, 1, 1, 1, 1, 8440.54
000:19:00.00, 482.068, 1428.23, 23.0816, 22.2882, 50.4305, 9954.5, 45.8646, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.447673, 0.289209, 0.0385937, 0, 1, 1, 1, 1, 8326.86
000:19:03.00, 487.942, 1437.16, 22.3541, 21.916, 50.3136, 8987.99, 44.3206, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.457465, 0.293345, 0.034777, 0.0151963, 1, 1, 1, 1, 8151.78
000:19:06.00, 494.557, 1448.91, 22.4543, 22.2144, 50.2032, 8289.72, 43.3333, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.470341, 0.298941, 0.0299759, 0.0314219, 1, 1, 1, 1, 8064.6
000:19:09.00, 498.65, 1458.07, 23.6046, 23.7484, 50.2263, 8799.8, 44.1708, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.480423, 0.303297, 0.0305762, 0.0228022, 1, 1, 1, 1, 8063.8
000:19:12.00, 499.906, 1462.92, 24.5385, 24.2978, 50.3779, 9453.38, 45.5257, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.484586, 0.305533, 0.0347687, 0, 1, 1, 1, 1, 8215.02
000:19:15.00, 499.351, 1464.38, 24.631, 24.195, 50.4566, 9846.41, 46.4986, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.484455, 0.306084, 0.0389611, 0, 1, 1, 1, 1, 8283.99
000:19:18.00, 497.792, 1463.23, 24.5829, 24.129, 50.4717, 9977.42, 46.5315, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.481817, 0.305328, 0.0403258, 0, 1, 1, 1, 1, 8303.87
000:19:21.00, 495.709, 1460.28, 24.5462, 24.0967, 50.474, 10025.2, 46.1628, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.477779, 0.303656, 0.0394715, 0, 1, 1, 1, 1, 8317.43
000:19:24.00, 493.383, 1456.15, 24.5255, 24.077, 50.477, 10059.8, 46.012, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.47299, 0.301382, 0.038806, 0, 1, 1, 1, 1, 8333.86
000:19:27.00, 490.983, 1451.34, 24.5055, 24.0523, 50.4819, 10104.5, 46.1046, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.46784, 0.298739, 0.0390973, 0, 1, 1, 1, 1, 8351.74
000:19:30.00, 488.612, 1446.16, 24.4827, 24.0269, 50.4854, 10141.1, 46.2198, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.462571, 0.295891, 0.0397133, 0, 1, 1, 1, 1, 8364.08
000:19:33.00, 486.331, 1440.85, 24.4619, 24.0048, 50.4872, 10167.2, 46.2553, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.457332, 0.292947, 0.0401287, 0, 1, 1, 1, 1, 8375.29
000:19:36.00, 486.351, 1437.5, 24.4082, 23.6723, 50.4975, 10210.6, 46.3061, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.454363, 0.290967, 0.0405463, 0, 1, 1, 1, 1, 8412.62
000:19:39.00, 489.682, 1440.55, 23.1776, 22.3871, 50.4278, 9878.4, 45.886, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.458365, 0.292187, 0.0400597, 0, 1, 1, 1, 1, 8322.26
000:19:42.00, 495.208, 1449.24, 22.4398, 21.9992, 50.3135, 8926.04, 44.3535, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.467806, 0.296258, 0.0362941, 0.0144757, 1, 1, 1, 1, 8160.72
000:19:45.00, 501.842, 1460.86, 22.6426, 22.5004, 50.2147, 8371.76, 43.447, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.480393, 0.301855, 0.0314511, 0.0306781, 1, 1, 1, 1, 8069.65
000:19:48.00, 508.853, 1474, 23.0582, 22.8476, 50.2159, 8534.68, 44.0166, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.494499, 0.308272, 0.0318578, 0.0214283, 1, 1, 1, 1, 8064.68
000:19:51.00, 513.865, 1486.12, 23.2452, 23.1515, 50.2463, 8558.18, 44.5568, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.50716, 0.314246, 0.0336571, 0.0148779, 1, 1, 1, 1, 8033.9
000:19:54.00, 515.753, 1492.98, 24.1294, 24.0119, 50.3385, 8996.17, 45.2743, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.513607, 0.31763, 0.0360518, 0, 1, 1, 1, 1, 8094.52
000:19:57.00, 515.4, 1495.51, 24.5203, 24.2143, 50.4103, 9389.66, 45.8356, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.514967, 0.318869, 0.0381772, 0, 1, 1, 1, 1, 8169.53
000:20:00.00, 513.654, 1494.68, 24.6594, 24.2788, 50.4406, 9623.85, 46.1364, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.512994, 0.318431, 0.0396734, 0, 1, 1, 1, 1, 8211.71
000:20:03.00, 511.097, 1491.52, 24.7075, 24.2972, 50.4553, 9752.77, 46.1834, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.508962, 0.316813, 0.0402476, 0, 1, 1, 1, 1, 8240.84
