Model Time, 23LT0001:MeasuredValue, 23LT0002:MeasuredValue, 23PT0001:MeasuredValue, 23PT0002:MeasuredValue, 23PT0003:MeasuredValue, 23FE0001:VolumeFlow, 23TT0003:MeasuredValue, 23LT0001:AlarmHighHigh, 23LT0001:AlarmLowLow, 23LT0001:AlarmHigh, 23LT0001:AlarmLow, 23LT0002:AlarmHighHigh, 23LT0002:AlarmHigh, 23LT0002:AlarmLow, 23LT0002:AlarmLowLow, 23PT0001:AlarmHighHigh, 23PT0001:AlarmHigh, 23PT0001:AlarmLow, 23PT0001:AlarmLowLow, 23LV0001:ValveStemPosition, 23LV0002:ValveStemPosition, 23TV0003:ValveStemPosition, 23UV0001:ValveStemPosition, 25ESV0001:ValveStemPosition, 23ESV0002:ValveStemPosition, 23ESV0003:ValveStemPosition, 23ESV0005:ValveStemPosition, 23KA0001_m:MachineSpeed
, mm, mm, barg, barg, barg, m3/h, C, , , , , , , , , , , , , fraction, fraction, fraction, fraction, fraction, fraction, fraction, fraction, rpm
003:39:36.00,502.562,1516.64,24.0021,23.7848,50.227,7032.16,45.0156,1,1,1,1,1,1,1,1,1,1,1,1,0.868188,0.500574,0.0214326,0,1,1,1,1,7581.27
003:40:12.00,502.565,1516.68,24.0026,23.7844,50.2279,7045.32,45.0177,1,1,1,1,1,1,1,1,1,1,1,1,0.869729,0.501593,0.0214729,0,1,1,1,1,7582.74
003:40:48.00,502.565,1516.71,24.0034,23.7844,50.2287,7057.84,45.0189,1,1,1,1,1,1,1,1,1,1,1,1,0.871268,0.502611,0.0215069,0,1,1,1,1,7584.2
003:41:24.00,502.565,1516.74,24.0032,23.7842,50.2293,7067.51,45.0162,1,1,1,1,1,1,1,1,1,1,1,1,0.872808,0.503629,0.0215286,0,1,1,1,1,7585.42
003:42:00.00,502.567,1516.77,24.0018,23.7816,50.23,7077.98,45.0145,1,1,1,1,1,1,1,1,1,1,1,1,0.874356,0.504651,0.0215604,0,1,1,1,1,7586.76
003:42:36.00,502.571,1516.8,24.0022,23.7812,50.2309,7091.09,45.0157,1,1,1,1,1,1,1,1,1,1,1,1,0.875902,0.505671,0.0215986,0,1,1,1,1,7588.28
003:43:12.00,502.571,1516.82,24.0027,23.7809,50.2317,7104.26,45.0178,1,1,1,1,1,1,1,1,1,1,1,1,0.877444,0.506689,0.0216389,0,1,1,1,1,7589.8
003:43:48.00,502.571,1516.83,24.0035,23.7808,50.2326,7116.77,45.0189,1,1,1,1,1,1,1,1,1,1,1,1,0.878986,0.507706,0.0216727,0,1,1,1,1,7591.3
003:44:24.00,502.571,1516.85,24.0033,23.7807,50.2332,7126.48,45.0162,1,1,1,1,1,1,1,1,1,1,1,1,0.880529,0.508726,0.0216947,0,1,1,1,1,7592.56
003:45:00.00,502.573,1516.88,24.0018,23.778,50.2339,7137.02,45.0146,1,1,1,1,1,1,1,1,1,1,1,1,0.882079,0.509751,0.0217267,0,1,1,1,1,7593.96
003:45:36.00,502.576,1516.9,24.0023,23.7776,50.2347,7150.17,45.0158,1,1,1,1,1,1,1,1,1,1,1,1,0.883629,0.510775,0.0217649,0,1,1,1,1,7595.52
003:46:12.00,502.578,1516.92,24.0028,23.7773,50.2356,7163.35,45.0178,1,1,1,1,1,1,1,1,1,1,1,1,0.885176,0.511798,0.0218052,0,1,1,1,1,7597.09
003:46:48.00,502.578,1516.93,24.0036,23.7773,50.2364,7175.83,45.0189,1,1,1,1,1,1,1,1,1,1,1,1,0.886722,0.51282,0.0218389,0,1,1,1,1,7598.64
003:47:24.00,502.578,1516.95,24.0034,23.7771,50.2371,7185.57,45.0162,1,1,1,1,1,1,1,1,1,1,1,1,0.888269,0.513846,0.0218611,0,1,1,1,1,7599.95
003:48:00.00,502.58,1516.98,24.0019,23.7744,50.2377,7196.2,45.0146,1,1,1,1,1,1,1,1,1,1,1,1,0.889825,0.514877,0.0218933,0,1,1,1,1,7601.4
003:48:36.00,502.584,1517,24.0024,23.774,50.2386,7209.37,45.0158,1,1,1,1,1,1,1,1,1,1,1,1,0.891379,0.515908,0.0219316,0,1,1,1,1,7603.01
003:49:12.00,502.585,1517.02,24.0029,23.7737,50.2395,7222.56,45.0178,1,1,1,1,1,1,1,1,1,1,1,1,0.892931,0.516937,0.0219718,0,1,1,1,1,7604.64
003:49:48.00,502.585,1517.03,24.0037,23.7737,50.2404,7235.02,45.0189,1,1,1,1,1,1,1,1,1,1,1,1,0.894482,0.517967,0.0220054,0,1,1,1,1,7606.24
003:50:24.00,502.586,1517.05,24.0035,23.7734,50.241,7244.81,45.0162,1,1,1,1,1,1,1,1,1,1,1,1,0.896035,0.519,0.0220279,0,1,1,1,1,7607.58
003:51:00.00,502.589,1517.08,24.002,23.7707,50.2417,7255.5,45.0147,1,1,1,1,1,1,1,1,1,1,1,1,0.897596,0.520039,0.0220602,0,1,1,1,1,7609.06
003:51:36.00,502.592,1517.11,24.0024,23.7703,50.2426,7268.69,45.0159,1,1,1,1,1,1,1,1,1,1,1,1,0.899156,0.521077,0.0220986,0,1,1,1,1,7610.7
003:52:12.00,502.594,1517.13,24.003,23.77,50.2435,7281.91,45.0179,1,1,1,1,1,1,1,1,1,1,1,1,0.900714,0.522114,0.0221386,0,1,1,1,1,7612.34
003:52:48.00,502.594,1517.15,24.0037,23.7699,50.2443,7294.4,45.0189,1,1,1,1,1,1,1,1,1,1,1,1,0.90227,0.523151,0.0221723,0,1,1,1,1,7613.95
003:53:24.00,502.595,1517.17,24.0035,23.7697,50.245,7304.2,45.0162,1,1,1,1,1,1,1,1,1,1,1,1,0.903828,0.524192,0.0221948,0,1,1,1,1,7615.3
003:54:00.00,502.597,1517.2,24.002,23.7669,50.2457,7314.92,45.0147,1,1,1,1,1,1,1,1,1,1,1,1,0.905394,0.525239,0.0222271,0,1,1,1,1,7616.78
003:54:36.00,502.601,1517.23,24.0024,23.7665,50.2465,7328.14,45.0159,1,1,1,1,1,1,1,1,1,1,1,1,0.906958,0.526285,0.0222655,0,1,1,1,1,7618.44
003:55:12.00,502.602,1517.25,24.003,23.7662,50.2475,7341.38,45.0179,1,1,1,1,1,1,1,1,1,1,1,1,0.90852,0.52733,0.0223055,0,1,1,1,1,7620.08
003:55:48.00,502.602,1517.27,24.0038,23.7662,50.2483,7353.89,45.0189,1,1,1,1,1,1,1,1,1,1,1,1,0.910081,0.528375,0.0223391,0,1,1,1,1,7621.7
003:56:24.00,502.602,1517.29,24.0035,23.7659,50.249,7363.72,45.0162,1,1,1,1,1,1,1,1,1,1,1,1,0.911643,0.529424,0.0223618,0,1,1,1,1,7623.06
003:57:00.00,502.604,1517.32,24.002,23.7632,50.2497,7374.47,45.0147,1,1,1,1,1,1,1,1,1,1,1,1,0.913212,0.530478,0.0223941,0,1,1,1,1,7624.55
003:57:36.00,502.608,1517.35,24.0024,23.7627,50.2506,7387.71,45.0159,1,1,1,1,1,1,1,1,1,1,1,1,0.914782,0.531532,0.0224325,0,1,1,1,1,7626.22
003:58:12.00,502.609,1517.37,24.003,23.7624,50.2515,7400.98,45.0179,1,1,1,1,1,1,1,1,1,1,1,1,0.916348,0.532585,0.0224725,0,1,1,1,1,7627.88
003:58:48.00,502.61,1517.39,24.0038,23.7624,50.2523,7413.49,45.0189,1,1,1,1,1,1,1,1,1,1,1,1,0.917914,0.533638,0.0225061,0,1,1,1,1,7629.51
003:59:24.00,502.61,1517.42,24.0035,23.7621,50.253,7423.35,45.0162,1,1,1,1,1,1,1,1,1,1,1,1,0.919481,0.534694,0.0225289,0,1,1,1,1,7630.89
004:00:00.00,502.612,1517.45,24.002,23.7593,50.2537,7434.15,45.0147,1,1,1,1,1,1,1,1,1,1,1,1,0.921055,0.535757,0.0225614,0,1,1,1,1,7632.41
004:00:36.00,502.616,1517.48,24.0025,23.7589,50.2546,7447.42,45.016,1,1,1,1,1,1,1,1,1,1,1,1,0.922629,0.536819,0.0225998,0,1,1,1,1,7634.09
004:01:12.00,502.617,1517.5,24.0031,23.7586,50.2556,7460.7,45.0179,1,1,1,1,1,1,1,1,1,1,1,1,0.924201,0.537879,0.0226398,0,1,1,1,1,7635.78
004:01:48.00,502.618,1517.52,24.0039,23.7586,50.2564,7473.22,45.0189,1,1,1,1,1,1,1,1,1,1,1,1,0.925771,0.538941,0.0226735,0,1,1,1,1,7637.44
004:02:24.00,502.618,1517.55,24.0036,23.7583,50.2571,7483.1,45.0163,1,1,1,1,1,1,1,1,1,1,1,1,0.927343,0.540005,0.0226965,0,1,1,1,1,7638.84
004:03:00.00,502.621,1517.58,24.0021,23.7555,50.2578,7493.96,45.0148,1,1,1,1,1,1,1,1,1,1,1,1,0.928922,0.541076,0.0227291,0,1,1,1,1,7640.39
004:03:36.00,502.624,1517.61,24.0025,23.7551,50.2587,7507.26,45.0161,1,1,1,1,1,1,1,1,1,1,1,1,0.930502,0.542146,0.0227677,0,1,1,1,1,7642.11
004:04:12.00,502.626,1517.63,24.0032,23.7548,50.2597,7520.55,45.018,1,1,1,1,1,1,1,1,1,1,1,1,0.932078,0.543215,0.0228078,0,1,1,1,1,7643.84
004:04:48.00,502.626,1517.65,24.0039,23.7548,50.2605,7533.06,45.0189,1,1,1,1,1,1,1,1,1,1,1,1,0.933653,0.544284,0.0228415,0,1,1,1,1,7645.53
004:05:24.00,502.626,1517.68,24.0036,23.7544,50.2612,7542.97,45.0163,1,1,1,1,1,1,1,1,1,1,1,1,0.93523,0.545357,0.0228648,0,1,1,1,1,7646.97
004:06:00.00,502.629,1517.71,24.0021,23.7516,50.262,7553.9,45.0149,1,1,1,1,1,1,1,1,1,1,1,1,0.936815,0.546436,0.0228977,0,1,1,1,1,7648.56
004:06:36.00,502.632,1517.74,24.0026,23.7512,50.2629,7567.23,45.0162,1,1,1,1,1,1,1,1,1,1,1,1,0.938399,0.547515,0.0229366,0,1,1,1,1,7650.33
004:07:12.00,502.634,1517.77,24.0033,23.7509,50.2638,7580.54,45.0181,1,1,1,1,1,1,1,1,1,1,1,1,0.939981,0.548592,0.0229767,0,1,1,1,1,7652.11
004:07:48.00,502.634,1517.79,24.0041,23.7509,50.2647,7593.02,45.019,1,1,1,1,1,1,1,1,1,1,1,1,0.941561,0.54967,0.0230104,0,1,1,1,1,7653.85
004:08:24.00,502.735,1518.1,24.0057,23.7517,50.2662,7614.5,45.0235,1,1,1,1,1,1,1,1,1,1,1,1,0.943348,0.550897,0.023067,0,1,1,1,1,7656.64
004:09:00.00,502.941,1518.61,24.0024,23.7472,50.2669,7625.41,45.0195,1,1,1,1,1,1,1,1,1,1,1,1,0.945469,0.552255,0.0231031,0,1,1,1,1,7658.52
004:09:36.00,503.048,1518.9,24.0026,23.7466,50.2678,7638.15,45.0189,1,1,1,1,1,1,1,1,1,1,1,1,0.94749,0.553527,0.0231427,0,1,1,1,1,7660.32
004:10:12.00,503.05,1519.01,24.0033,23.7463,50.2687,7650.99,45.0197,1,1,1,1,1,1,1,1,1,1,1,1,0.94933,0.554721,0.0231832,0,1,1,1,1,7662.1
004:10:48.00,502.986,1519.01,24.0041,23.7463,50.2696,7663.08,45.0199,1,1,1,1,1,1,1,1,1,1,1,1,0.951018,0.555861,0.0232173,0,1,1,1,1,7663.84
004:11:24.00,502.893,1518.95,24.0037,23.7459,50.2703,7672.85,45.0171,1,1,1,1,1,1,1,1,1,1,1,1,0.952598,0.556968,0.0232421,0,1,1,1,1,7665.35
