Model Time, 23LT0001:MeasuredValue, 23LT0002:MeasuredValue, 23PT0001:MeasuredValue, 23PT0002:MeasuredValue, 23PT0003:MeasuredValue, 23FE0001:VolumeFlow, 23TT0003:MeasuredValue, 23LT0001:AlarmHighHigh, 23LT0001:AlarmLowLow, 23LT0001:AlarmHigh, 23LT0001:AlarmLow, 23LT0002:AlarmHighHigh, 23LT0002:AlarmHigh, 23LT0002:AlarmLow, 23LT0002:AlarmLowLow, 23PT0001:AlarmHighHigh, 23PT0001:AlarmHigh, 23PT0001:AlarmLow, 23PT0001:AlarmLowLow, 23LV0001:ValveStemPosition, 23LV0002:ValveStemPosition, 23TV0003:ValveStemPosition, 23UV0001:ValveStemPosition, 25ESV0001:ValveStemPosition, 23ESV0002:ValveStemPosition, 23ESV0003:ValveStemPosition, 23ESV0005:ValveStemPosition, 23KA0001_m:MachineSpeed
, mm, mm, barg, barg, barg, m3/h, C, , , , , , , , , , , , , fraction, fraction, fraction, fraction, fraction, fraction, fraction, fraction, rpm
002:22:48.00, 498.1, 1505.6, 23.5735, 23.2124, 50.3761, 9566.92, 45.2758, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.576322, 0.347277, 0.0322754, 0.0107498, 1, 1, 1, 1, 8093.11
002:23:24.00, 501.531, 1503.37, 23.937, 22.9749, 50.4059, 9531.17, 45.228, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.581098, 0.346269, 0.028829, 0, 1, 1, 1, 1, 8142.8
002:24:00.00, 492.045, 1487.77, 25.4022, 24.7147, 50.473, 10060, 46.8451, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.561034, 0.338212, 0.0350053, 0, 1, 1, 1, 1, 8389.59
002:24:36.00, 491.828, 1488.22, 24.0622, 23.61, 50.4788, 10246.3, 45.9046, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.557675, 0.337878, 0.0342927, 0.0089586, 1, 1, 1, 1, 8252.02
002:25:12.00, 499.996, 1499.92, 25.7136, 25.9742, 50.3947, 9313.76, 45.4703, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.573559, 0.343492, 0.0291, 0, 1, 1, 1, 1, 8149.07
002:25:48.00, 497.974, 1492.56, 23.3907, 22.8053, 50.3741, 9305.79, 45.0426, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.566197, 0.339493, 0.0305404, 0, 1, 1, 1, 1, 8063.81
002:26:24.00, 504.853, 1496.88, 24.0286, 24.2569, 50.2312, 8525.01, 43.753, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.580935, 0.341243, 0.024465, 0.0249938, 1, 1, 1, 1, 7904.32
002:27:00.00, 497.71, 1486.57, 24.6501, 24.5767, 50.3602, 9257.71, 44.6229, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.565227, 0.335367, 0.0281657, 0.000272461, 1, 1, 1, 1, 8111.48
002:27:36.00, 501.661, 1492.73, 23.1665, 22.8344, 50.2898, 8670.9, 44.1101, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.572449, 0.337671, 0.026811, 0.00314318, 1, 1, 1, 1, 7962.89
002:28:12.00, 503.613, 1502.05, 25.6924, 25.6574, 50.3942, 9434.59, 46.0494, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.577699, 0.342018, 0.0312709, 0, 1, 1, 1, 1, 8199.44
