Model Time, 23LT0001:MeasuredValue, 23LT0002:MeasuredValue, 23PT0001:MeasuredValue, 23PT0002:MeasuredValue, 23PT0003:MeasuredValue, 23FE0001:VolumeFlow, 23TT0003:MeasuredValue, 23LT0001:AlarmHighHigh, 23LT0001:AlarmLowLow, 23LT0001:AlarmHigh, 23LT0001:AlarmLow, 23LT0002:AlarmHighHigh, 23LT0002:AlarmHigh, 23LT0002:AlarmLow, 23LT0002:AlarmLowLow, 23PT0001:AlarmHighHigh, 23PT0001:AlarmHigh, 23PT0001:AlarmLow, 23PT0001:AlarmLowLow, 23LV0001:ValveStemPosition, 23LV0002:ValveStemPosition, 23TV0003:ValveStemPosition, 23UV0001:ValveStemPosition, 25ESV0001:ValveStemPosition, 23ESV0002:ValveStemPosition, 23ESV0003:ValveStemPosition, 23ESV0005:ValveStemPosition, 23KA0001_m:MachineSpeed
, mm, mm, barg, barg, barg, m3/h, C, , , , , , , , , , , , , fraction, fraction, fraction, fraction, fraction, fraction, fraction, fraction, rpm
005:18:00.00, 500.706, 1502.11, 23.6908, 23.18, 50.5344, 11071.2, 44.7933, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.307877, 0.157822, 0.0353707, 0, 1, 1, 1, 1, 8664.52
005:18:36.00, 500.824, 1505.38, 24.0444, 23.4404, 50.5671, 11219.2, 44.9542, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.308704, 0.159733, 0.0357341, 0, 1, 1, 1, 1, 8714.59
005:19:12.00, 499.351, 1500.5, 23.8809, 23.3802, 50.5639, 11278, 44.9224, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.305816, 0.157512, 0.0357522, 0, 1, 1, 1, 1, 8727.09
005:19:48.00, 499.048, 1500.28, 23.9047, 23.3343, 50.5529, 11171.5, 44.8631, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.304032, 0.157417, 0.0355362, 0, 1, 1, 1, 1, 8715.11
005:20:24.00, 501.691, 1502.98, 23.7913, 22.9753, 50.551, 11175.9, 45.0004, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.309908, 0.158822, 0.0359078, 0, 1, 1, 1, 1, 8716.72
005:21:00.00, 501.709, 1505.68, 23.8624, 23.2054, 50.5531, 11160.6, 44.9693, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.310754, 0.160411, 0.0358567, 0, 1, 1, 1, 1, 8703.6
005:21:36.00, 500.3, 1502.54, 24.0168, 23.325, 50.5736, 11290.8, 45.0564, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.308898, 0.159121, 0.0360589, 0, 1, 1, 1, 1, 8750.99
005:22:12.00, 499.865, 1498.65, 23.9826, 23.3298, 50.5825, 11388.7, 45.1108, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.308788, 0.157296, 0.0364199, 0, 1, 1, 1, 1, 8760.87
005:22:48.00, 499.002, 1497.4, 23.9799, 23.3662, 50.5778, 11360.2, 45.1544, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.307461, 0.15664, 0.0364674, 0, 1, 1, 1, 1, 8748.59
005:23:24.00, 497.933, 1495.85, 24.2481, 23.7271, 50.6015, 11425.6, 45.214, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.303833, 0.155689, 0.0366776, 0, 1, 1, 1, 1, 8773.87
